key,date,ml_time,team,opp_team,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20121030,23:04:25,away,Washington,Cleveland,+210,+200,+210,+215,+210,away,+6,-105,+6,-110,+6,-110,+6,-105,+6,-108,away,191,-104,191,-110,191,-110,191,-105,191,-110
20121030,23:04:25,home,Cleveland,Washington,-235,-240,-250,-255,-250,home,-6,-105,-6,-110,-6,-110,-6,-115,-6,-112,home,191,-106,191,-110,191,-110,191,-115,191,-110
20121030,23:04:25,away,Boston,Miami,+244,+240,+230,+225,+235,away,+6.5,-105,+6,-101,+6,-110,+7,-115,+6.5,-110,away,187.5,-105,187.5,-104,187.5,-110,188,-105,187,-110
20121030,23:04:25,home,Miami,Boston,-275,-260,-270,-265,-280,home,-6.5,-105,-6,-109,-6,-110,-7,-105,-6.5,-110,home,187.5,-105,187.5,-106,187.5,-110,188,-115,187,-110
20121030,23:04:25,away,Dallas,L.A. Lakers,+393,+420,+400,+375,+385,away,+8.5,-103,+8.5,-105,+8.5,-110,+9,-105,+8.5,-110,away,186,+100,186,-105,185.5,-110,187,-110,186.5,-110
20121030,23:04:25,home,L.A. Lakers,Dallas,-460,-475,-505,-550,-470,home,-8.5,-107,-8.5,-105,-8.5,-110,-9,-115,-8.5,-110,home,186,-110,186,-105,185.5,-110,187,-110,186.5,-110
key,date,ml_time,team,opp_team,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20171002,23:36:58,away,Charlotte,Boston,+256,+255,+275,+255,,away,+7.5,-110,+8,-110,+7.5,-110,+8,-110,+7.5,-120,away,206,-108,206,-110,205,-110,205,-110,206,-110
20171002,23:36:58,home,Boston,Charlotte,-312,-310,-335,-315,,home,-7.5,-106,-8,-110,-7.5,-110,-8,-110,-7.5,+100,home,206,-108,206,-110,205,-110,205,-110,206,-110
20171002,23:36:58,away,Orlando,Memphis,-101,+103,+100,+100,,away,+1.5,-110,+1.5,-110,+1.5,-110,+1.5,-110,+1.5,-110,away,202.5,-110,202.5,-110,202.5,-110,202.5,-110,202.5,-115
20171002,23:36:58,home,Memphis,Orlando,-116,-123,-120,-120,,home,-1.5,-106,-1.5,-110,-1.5,-110,-1.5,-110,-1.5,-110,home,202.5,-106,202.5,-110,202.5,-110,202.5,-110,202.5,-105
20171002,23:36:58,away,Milwaukee,Dallas,+157,+165,+165,+155,,away,+4.5,-102,+5,-110,+5,-110,+5,-110,+4.5,-105,away,199,-108,198.5,-110,199,-110,198.5,-110,198.5,-115
20171002,23:36:58,home,Dallas,Milwaukee,-185,-190,-190,-185,,home,-4.5,-114,-5,-110,-5,-110,-5,-110,-4.5,-115,home,199,-108,198.5,-110,199,-110,198.5,-110,198.5,-105
20171002,23:36:58,away,San Antonio,Sacramento,-123,-123,-120,-125,,away,-1.5,-110,-1.5,-110,-1.5,-110,-1.5,-110,-1.5,-110,away,202,-108,202.5,-110,202.5,-110,202.5,-110,202.5,-105
20171002,23:36:58,home,Sacramento,San Antonio,+105,+103,+100,+105,,home,+1.5,-106,+1.5,-110,+1.5,-110,+1.5,-110,+1.5,-110,home,202,-108,202.5,-110,202.5,-110,202.5,-110,202.5,-115
20171002,23:36:58,away,Denver,L.A. Lakers,-173,-170,-170,-175,,away,-4,-110,-4,-110,-4,-110,-4,-110,-4,-115,away,218,-111,218.5,-110,218,-110,218.5,-110,218,-115
20171002,23:36:58,home,L.A. Lakers,Denver,+147,+150,+150,+145,,home,+4,-106,+4,-110,+4,-110,+4,-110,+4,-105,home,218,-105,218.5,-110,218,-110,218.5,-110,218,-105
